pair,combo,id,reasons,short_preview
"asc_jupiter","aries_aries","1","banned: ""энергия""","Загорается идеей за секунду и тут же бросается её воплощать, не оглядываясь на р"
"asc_jupiter","aries_taurus","2","full words: 85 (need 50-80); banned: ""будет""","Вспыхивает желанием что-то сделать и потом упрямо добивается своего до победного"
"asc_jupiter","aries_gemini","3","full words: 85 (need 50-80)","Схватывает всё на лету, но быстро теряет интерес и перескакивает на новое увлече"
"asc_jupiter","aries_cancer","4","full words: 83 (need 50-80)","Может вспылить, но тут же испугаться, что обидел кого-то, и попытаться всё сглад"
"asc_jupiter","aries_libra","7","short words: 11 (need 12-25)","Быстро заводится, но потом оглядывается — не обидел ли кого ненароком."
"asc_jupiter","aries_sagittarius","9","banned: ""энергия""","Готов сорваться в путешествие за пять минут, а чемодан собирать уже в такси."
"asc_jupiter","aries_capricorn","10","banned: ""энергия""","Сначала бросается в бой, а уже в процессе придумывает стратегию и план отступлен"
"asc_jupiter","aries_aquarius","11","full words: 84 (need 50-80)","Может загореться идеей переделать мир за вечер, а наутро забыть, с чего начал."
"asc_jupiter","taurus_taurus","14","full words: 84 (need 50-80)","Всему своё время — и менять привычный уклад он не собирается ни для кого."
"asc_jupiter","taurus_gemini","15","full words: 86 (need 50-80)","Любит уют и покой, но при этом не может удержаться от новых знакомств и идей."
"asc_jupiter","taurus_cancer","16","short words: 11 (need 12-25)","Дом — его крепость, а забота о близких — естественная потребность."
"asc_jupiter","taurus_sagittarius","21","full words: 86 (need 50-80)","Ценит домашний уют, но при этом мечтает о дальних странствиях и часто действует "
"asc_jupiter","taurus_capricorn","22","full words: 82 (need 50-80); banned: ""фундамент""","Предпочитает сначала всё проверить и только потом действовать — надёжно и без ли"
"asc_jupiter","taurus_aquarius","23","full words: 86 (need 50-80)","Ценит привычный уют, но при этом обожает удивлять окружающих неожиданными идеями"
"asc_jupiter","taurus_pisces","24","full words: 91 (need 50-80)","Создаёт вокруг себя уютную атмосферу, но при этом живёт богатой внутренней жизнь"
"asc_jupiter","gemini_aries","25","banned: ""энергия""","Сначала прыгает, потом смотрит — и почти всегда успевает придумать план в полёте"
"asc_jupiter","gemini_virgo","30","full words: 83 (need 50-80); banned: ""будет""","Перед тем как согласиться на что-то новое, долго взвешивает все за и против и ищ"
"asc_jupiter","gemini_sagittarius","33","key mismatch: signpair.asc_jupiter.gemini_aquarius → signpair.asc_jupiter.gemini_sagittarius; short words: 10 (need 12-25)","Обожает спорить не ради победы, а ради проверки чужих границ."
"asc_jupiter","gemini_capricorn","34","full words: 83 (need 50-80)","Сначала семь раз отмерит, а потом ещё раз переспросит, правильно ли отмерил."
"asc_jupiter","gemini_aquarius","35","key mismatch: signpair.asc_jupiter.gemini_sagittarius → signpair.asc_jupiter.gemini_aquarius","Готов ввязаться в дискуссию по любому поводу, а потом удивиться, что зашёл слишк"
"asc_jupiter","cancer_taurus","38","banned: ""будет""","Медленно сходится с людьми, но привязывается крепко и надолго. Забота — его язык"
"asc_jupiter","cancer_gemini","39","banned: ""глубина""","Эмоции прячет за разговорами и сменой тем. Быстро переключается, но глубоко внут"
"asc_jupiter","cancer_aquarius","47","full words: 86 (need 50-80)","Может быть душой компании и тут же исчезнуть на неделю, никому не отвечая."
"asc_jupiter","leo_taurus","50","full words: 92 (need 50-80); banned: ""будет""","Строит образ уверенного в себе человека, который привык добиваться своего упорст"
"asc_jupiter","leo_gemini","51","full words: 100 (need 50-80)","Легко заводит разговор с незнакомцами и так же легко перескакивает с темы на тем"
"asc_jupiter","leo_cancer","52","full words: 110 (need 50-80); banned: ""будет""","Внешне открытый и щедрый, но сильно зависит от того, как к нему относятся близки"
"asc_jupiter","virgo_aries","61","short words: 10 (need 12-25)","Сначала перепроверит всё трижды, а потом решительно бросится в бой."
"asc_jupiter","virgo_taurus","62","short words: 9 (need 12-25); full words: 48 (need 50-80); banned: ""будет""","Предпочитает делать всё основательно и не торопится с выводами."
"asc_jupiter","virgo_gemini","63","full words: 43 (need 50-80)","Разбирается в мелочах, но так быстро переключается, что сам забывает, с чего нач"
"asc_jupiter","virgo_cancer","64","short words: 11 (need 12-25); full words: 49 (need 50-80)","Долго присматривается к людям, но если доверяет — становится очень заботливым."
"asc_jupiter","virgo_leo","65","full words: 86 (need 50-80)","Подмечает детали, но любит, чтобы его работу оценили. Может долго шлифовать мело"
"asc_jupiter","virgo_virgo","66","full words: 89 (need 50-80)","Планирует всё до мелочей и переживает, если что-то идёт не по плану. Его ценят з"
"asc_jupiter","virgo_libra","67","full words: 89 (need 50-80)","Перепроверяет детали и старается никого не обидеть. Из-за этого может долго выби"
"asc_jupiter","virgo_scorpio","68","full words: 85 (need 50-80)","Подмечает скрытые мотивы и не прощает небрежность. Может долго копить недовольст"
"asc_jupiter","virgo_sagittarius","69","banned: ""будет""","Сначала распишет всё по пунктам, а потом решит, что план слишком скучный, и начн"
"asc_jupiter","libra_taurus","74","banned: ""будет""","Ценит красоту и комфорт, но когда решение принял — с места его не сдвинешь."
"asc_jupiter","libra_leo","77","short words: 10 (need 12-25); full words: 83 (need 50-80)","Дипломатично добивается внимания, но обижается, если его старания не замечают."
"asc_jupiter","libra_virgo","78","short words: 11 (need 12-25)","Переживает из-за каждой мелочи, но делает вид, что всё под контролем."
"asc_jupiter","libra_libra","79","full words: 82 (need 50-80)","Долго выбирает между двумя вариантами, а потом жалеет, что не выбрал третий."
"asc_jupiter","libra_aquarius","83","banned: ""быть собой""","Общается легко и с интересом, но если тема становится скучной — просто уходит в "
"asc_jupiter","libra_pisces","84","short words: 11 (need 12-25); banned: ""будет""","Старается угодить всем вокруг, но в итоге забывает про собственные желания."
"asc_jupiter","scorpio_scorpio","92","short words: 10 (need 12-25)","Чувствует глубже, чем показывает, и доверяет только после долгой проверки."
"asc_jupiter","sagittarius_aries","97","full words: 83 (need 50-80)","Хватается за новое, даже не дочитав инструкцию, и почему-то чаще всего выходит с"
"asc_jupiter","sagittarius_taurus","98","full words: 84 (need 50-80)","Мечтает объехать весь мир, но в поездке первым делом ищет, где можно поесть дома"
"asc_jupiter","sagittarius_gemini","99","full words: 82 (need 50-80)","Никогда не знаешь, о чём он заговорит через минуту, и сам он этого тоже не знает"
"asc_jupiter","sagittarius_cancer","100","full words: 86 (need 50-80); banned: ""будет""","Может уехать за мечтой на край света, но будет каждый вечер звонить маме, чтобы "
"asc_jupiter","sagittarius_libra","103","banned: ""будет""","Прежде чем решить, он спросит мнение всех вокруг, а потом сделает по-своему."
"asc_jupiter","sagittarius_sagittarius","105","banned: ""энергия""","Готов сорваться в путешествие в любую секунду, просто потому что билеты нашлись "
"asc_jupiter","sagittarius_capricorn","106","full words: 83 (need 50-80)","Планирует кругосветку как военную операцию, но на месте всё равно доверяет интуи"
"asc_jupiter","sagittarius_aquarius","107","banned: ""потенциал""","Может часами спорить об идеях, но забыть поужинать, если тема его по-настоящему "
"asc_jupiter","capricorn_aries","109","banned: ""энергия""","Долго прикидывает, стоит ли игра свеч, а потом бросается так, будто всю жизнь то"
"asc_jupiter","capricorn_libra","115","key mismatch: signpair.asc_jupiter.capricorn_liibra → signpair.asc_jupiter.capricorn_libra; short words: 11 (need 12-25)","Прежде чем что-то предложить, перебирает в голове все возможные реакции окружающ"
"asc_jupiter","capricorn_sagittarius","117","short words: 11 (need 12-25)","Сначала распишет график на месяц, а потом спонтанно уедет в путешествие."
"asc_jupiter","capricorn_capricorn","118","banned: ""будет""","Не сделает ни одного лишнего движения, пока не убедится, что оно нужно."
"asc_jupiter","capricorn_pisces","120","short words: 9 (need 12-25)","Выглядит спокойным и неприступным, но может растрогаться до слёз."
"asc_jupiter","aquarius_aries","121","short words: 11 (need 12-25)","Мгновенно загорается идеей, но бросает её, если не видит немедленного отклика."
